# TIME	enumeration (ms):	1541
f_1:	203532087.381932	203532087
f_2:	3171362.698352	3171362
f_3:	1064290.389470	1064290
f_4:	357420.546127	357420
f_5:	199297.344527	199297
f_6:	129928.638209	129928
f_7:	72239.104729	72239
f_8:	55714.567073	55714
f_9:	40640.366698	40640
f_10:	31757.596931	31757
f_11:	25519.901732	25519
f_12:	21062.770806	21062
f_13:	16842.527666	16842
f_14:	11582.202978	11582
f_15:	10998.328592	10998
f_16:	8934.014287	8934
f_17:	9347.844426	9347
f_18:	8436.748826	8436
f_19:	8706.822151	8706
f_20:	6371.750556	6371
f_21:	7047.283535	7047
f_22:	3671.192322	3671
f_23:	4618.150171	4618
f_24:	5255.641764	5255
f_25:	3822.859535	3822
f_26:	4098.829037	4098
f_27:	3577.645349	3577
f_28:	3324.715376	3324
f_29:	3198.293702	3198
f_30:	2552.073666	2552
f_31:	2948.497544	2948
f_32:	2296.161204	2296
f_33:	1137.750708	1137
f_34:	1151.637611	1151
f_35:	2188.343057	2188
f_36:	1787.451971	1787
f_37:	1273.707861	1273
f_38:	1927.680340	1927
f_39:	1531.382424	1531
f_40:	1276.816611	1276
f_41:	1539.037491	1539
f_42:	1665.582373	1665
f_43:	627.511608	627
f_44:	2194.561228	2194
f_45:	1139.725211	1139
f_46:	892.755598	892
f_47:	2061.964211	2061
f_48:	752.561821	752
f_49:	1415.634766	1415
f_50:	501.085974	501
f_51:	1289.214842	1289
f_52:	502.690488	502
f_53:	770.993628	770
f_54:	897.549549	897
f_55:	766.458504	766
f_56:	508.844561	508
f_57:	1418.884812	1418
f_58:	1408.177407	1408
f_59:	501.129027	501
f_60:	1159.656461	1159
f_61:	892.939421	892
f_62:	507.284112	507
f_63:	382.327093	382
f_64:	383.917049	383
f_65:	513.523834	513
f_66:	512.004943	512
f_67:	511.998468	511
f_68:	641.561149	641
f_69:	1028.724792	1028
f_70:	635.407335	635
f_71:	380.828933	380
f_72:	383.918040	383
f_73:	513.528182	513
f_74:	641.577726	641
f_75:	380.902389	380
f_76:	1031.783734	1031
f_77:	635.432389	635
f_78:	769.542038	769
f_79:	508.884488	508
f_80:	900.650261	900
f_81:	766.503186	766
f_82:	379.309162	379
f_83:	254.344396	254
f_84:	385.491757	385
f_85:	383.994585	383
f_86:	643.126488	643
f_87:	380.923828	380
f_88:	254.399546	254
f_89:	515.081461	515
f_90:	382.471612	382
f_91:	254.421596	254
f_92:	126.394007	126
f_93:	775.778838	775
f_94:	249.863989	249
f_95:	-3.191371	3
f_96:	518.167635	518
f_97:	512.078149	512
f_98:	382.473220	382
f_99:	383.984529	383
f_100:	383.994029	383
f_101:	254.432608	254
f_102:	255.968092	255
f_103:	255.983709	255
f_104:	385.557535	385
f_105:	124.893245	124
f_106:	257.516053	257
f_107:	256.003984	256
f_108:	-3.129271	3
f_109:	259.069078	259
f_110:	385.594511	385
f_111:	124.913662	124
f_112:	257.524327	257
f_113:	-3.122778	3
f_114:	259.076306	259
f_115:	385.597146	385
f_116:	-4.650664	4
f_117:	259.060779	259
f_118:	126.458958	126
f_119:	257.550042	257
f_120:	256.019679	256
f_121:	515.142587	515
f_122:	123.368666	123
f_123:	-1.623985	1
f_124:	-0.060793	0
f_125:	259.103414	259
f_126:	126.479999	126
f_127:	127.990083	127
f_128:	127.992541	127
f_129:	257.562817	257
f_130:	126.462607	126
f_131:	387.115053	387
f_132:	254.486716	254
f_133:	-3.134625	3
f_134:	-0.064066	0
f_135:	129.534825	129
f_136:	128.015580	128
f_137:	128.005705	128
f_138:	257.566787	257
f_139:	-3.100833	3
f_140:	-0.046245	0
f_141:	259.107423	259
f_142:	126.484448	126
f_143:	257.559560	257
f_144:	-3.106179	3
f_145:	129.518982	129
f_146:	257.572163	257
f_147:	-3.096545	3
f_148:	-0.045173	0
f_149:	-0.023886	0
f_150:	-0.011011	0
