# chain: length 264 score 191982
297 1528181,332,275770,332,664
296 1527877,222,275467,222,444
293 237538,201,241090,201,402
292 237263,274,240815,274,548
291 236041,294,239592,294,588
290 235556,335,239107,335,670
289 234618,239,238169,239,478
288 233961,317,237512,317,634
287 233638,322,237189,322,644
286 233401,236,236952,236,472
285 233158,242,236709,242,484
284 232837,215,236388,215,430
283 229853,291,233183,291,582
282 229598,243,232928,243,486
281 228768,258,232098,258,516
276 227969,582,231300,582,1164
271 227623,249,230954,249,498
264 226936,546,230267,546,1092
263 226604,324,229936,324,648
258 225900,213,229232,213,426
254 224890,696,228222,696,1392
245 223915,974,227247,974,1948
242 223538,202,226870,202,404
241 222988,329,226319,329,658
240 222448,539,225779,539,1078
239 221550,366,224881,366,732
238 220884,310,224215,310,620
237 220515,368,223846,368,736
236 219732,398,223063,398,796
235 218828,397,222159,397,794
233 218188,389,221520,389,778
232 215949,274,219282,274,548
231 215380,296,218713,296,592
230 213819,566,217164,566,1132
229 213337,218,216681,218,436
228 212952,247,216296,247,494
227 212180,272,215524,272,544
226 211763,241,215107,241,482
225 209442,376,212786,376,752
224 209142,239,212486,239,478
223 208773,350,212117,350,700
222 208245,527,211589,527,1054
221 207939,305,211283,305,610
220 207123,215,210467,215,430
219 206068,304,209412,304,608
218 205269,257,208613,257,514
217 204987,216,208331,216,432
216 204771,215,208115,215,430
215 203135,306,206479,306,612
214 202808,219,206152,219,438
213 201640,861,204984,861,1722
212 201345,263,204689,263,526
211 200811,377,204155,377,754
210 200529,281,203873,281,562
209 199928,491,203273,491,982
208 199262,665,202607,665,1330
207 198380,242,201725,242,484
206 197790,589,201135,589,1178
205 195040,2632,198385,2632,5264
204 194165,505,197510,505,1010
203 193063,1065,196408,1065,2130
202 192775,287,196120,287,574
201 191300,1210,194787,1210,2420
200 190707,592,194194,592,1184
199 189957,749,193444,749,1498
198 189688,268,193175,268,536
197 189417,270,192904,270,540
196 188711,414,192198,414,828
195 188339,371,191826,371,742
194 185630,419,189117,419,838
193 183701,421,187901,421,842
192 183458,214,187658,214,428
191 183133,274,187333,274,548
190 182343,319,186543,319,638
189 181663,278,185863,278,556
188 181390,257,185590,257,514
187 180820,569,185020,569,1138
186 180127,301,184327,301,602
185 179070,444,183270,444,888
184 178479,389,182679,389,778
183 178131,335,182331,335,670
182 177648,286,181848,286,572
181 176876,497,181076,497,994
180 176294,569,180494,569,1138
179 175991,302,180191,302,604
178 174673,570,178873,570,1140
177 172286,332,176609,332,664
176 169759,236,174082,236,472
175 169064,363,173387,363,726
174 168428,341,172751,341,682
173 166502,431,170825,431,862
172 166100,401,170423,401,802
171 164644,288,168967,288,576
170 162678,304,167001,304,608
169 160401,1112,164724,1112,2224
168 160020,242,164343,242,484
167 159237,247,163560,247,494
166 158578,215,162901,215,430
165 158023,467,162346,467,934
164 157544,411,161867,411,822
163 146145,588,150518,588,1176
162 145072,219,149445,219,438
161 144256,375,148629,375,750
160 143498,325,147871,325,650
159 143270,227,147643,227,454
158 142452,363,146825,363,726
157 141797,291,146170,291,582
156 141343,368,145716,368,736
155 141040,265,145413,265,530
