# chain: length 50 score 30524
49 51097,455,56073,455,910
48 49571,370,53986,370,740
47 47515,271,51930,271,542
46 46901,237,51316,237,474
45 46253,380,50668,380,760
44 45950,224,50365,224,448
43 45555,251,49969,251,502
42 44455,206,48869,206,412
41 43562,212,47976,212,424
40 41188,221,45595,221,442
39 40129,380,44536,380,760
38 38777,227,43184,227,454
37 37777,327,42184,327,654
36 37534,242,41941,242,484
35 37032,408,41439,408,816
34 36263,217,40670,217,434
33 35499,333,39906,333,666
32 35170,322,39577,322,644
31 34112,486,38486,486,972
30 33552,215,37927,215,430
29 31887,230,36262,230,460
28 30706,208,35081,208,416
27 29506,338,33881,338,676
26 28223,224,32598,224,448
25 27712,356,32087,356,712
24 26789,236,31164,236,472
23 25045,403,29457,403,806
22 23335,305,27747,305,610
21 22048,218,26460,218,436
20 21304,312,25716,312,624
19 20813,460,25219,460,920
18 19377,418,18045,418,836
17 18477,287,17145,287,574
16 17569,218,16237,218,436
15 15174,216,15191,216,432
14 14232,414,14249,414,828
13 13719,512,13736,512,1024
12 13131,209,13148,209,418
11 12384,329,12401,329,658
10 12026,210,12043,210,420
9 11695,204,11712,204,408
8 11439,225,11456,225,450
7 10408,308,10425,308,616
6 10024,383,10041,383,766
5 9377,290,9394,290,580
4 8996,380,9013,380,760
3 8687,308,8704,308,616
2 8079,379,8096,379,758
1 7627,311,7644,311,622
0 5851,387,5868,387,774
