# chain: length 848 score 586680
899 886891,275,1014613,275,550
898 885244,454,1012966,454,908
897 884251,235,1011973,235,470
896 882789,318,1010511,318,636
895 882494,294,1010216,294,588
894 882059,246,1009781,246,492
893 881772,286,1009494,286,572
892 881337,200,1009059,200,400
891 880495,237,1008217,237,474
890 880033,338,1007755,338,676
889 879671,220,1007394,220,440
888 879419,251,1007142,251,502
887 879179,209,1006902,209,418
886 878948,230,1006671,230,460
885 878360,470,1006083,470,940
884 878102,215,1005825,215,430
883 877453,524,1005176,524,1048
882 877193,216,1004916,216,432
881 876323,413,1004046,413,826
880 874818,278,1001587,278,556
879 874493,294,1001262,294,588
878 873734,302,1000503,302,604
877 873497,236,1000266,236,472
876 870996,388,997765,388,776
875 869581,318,996350,318,636
874 869174,206,995943,206,412
873 868960,213,995729,213,426
872 868317,453,995086,453,906
871 867711,227,994480,227,454
870 867315,215,994084,215,430
869 866423,372,993192,372,744
868 865768,237,992537,237,474
867 865489,278,992258,278,556
866 862759,224,989425,224,448
865 861749,235,988415,235,470
864 860912,231,987579,231,462
863 858802,214,985469,214,428
862 858469,254,985136,254,508
861 857661,632,984327,632,1264
860 857016,206,983682,206,412
859 855680,297,982419,297,594
858 855107,479,981846,479,958
857 854794,212,981532,212,424
856 852947,222,979686,222,444
855 852048,240,978787,240,480
854 851481,236,978220,236,472
853 850999,481,977738,481,962
852 849867,206,976606,206,412
851 849246,506,975985,506,1012
850 848682,356,975421,356,712
849 847608,313,974347,313,626
848 846823,486,973562,486,972
847 845602,428,972341,428,856
846 845147,203,971886,203,406
845 842958,424,969841,424,848
844 841097,548,967980,548,1096
843 840524,312,967407,312,624
842 839012,205,965895,205,410
841 834305,254,961175,254,508
840 833381,335,960251,335,670
839 832197,238,959067,238,476
838 829949,477,954746,477,954
837 829168,440,953965,440,880
836 827275,355,952072,355,710
835 826458,249,951255,249,498
834 824137,237,948934,237,474
833 823616,520,948413,520,1040
832 822609,1006,947406,1006,2012
831 822333,260,947130,260,520
830 821380,406,946177,406,812
829 819202,212,943996,212,424
828 818373,248,943168,248,496
827 817661,355,942456,355,710
826 817052,321,941847,321,642
825 816179,227,940974,227,454
824 812635,229,937431,229,458
823 808412,285,933207,285,570
822 805498,298,891704,298,596
821 804780,261,891079,261,522
820 803889,290,890188,290,580
819 803451,225,889750,225,450
818 802234,313,888533,313,626
817 801521,259,887820,259,518
816 799810,389,886108,389,778
815 799265,329,885563,329,658
814 796493,465,882791,465,930
813 795678,257,881976,257,514
812 795297,275,881595,275,550
811 795078,218,881376,218,436
810 793739,601,880037,601,1202
809 792781,241,879079,241,482
808 792220,412,878518,412,824
807 790730,239,877027,239,478
806 790206,217,876503,217,434
805 788132,266,874429,266,532
804 787198,244,873495,244,488
803 786648,223,872945,223,446
802 784644,378,870933,378,756
801 783507,251,869802,251,502
800 783078,242,869373,242,484
799 781922,239,868217,239,478
798 781316,236,867611,236,472
797 779241,611,866097,611,1222
796 777898,1049,864754,1049,2098
795 776849,226,863705,226,452
794 776440,408,863296,408,816
793 775210,479,862147,479,958
792 774969,240,861906,240,480
791 774115,352,861052,352,704
790 773858,256,860795,256,512
789 773648,208,860585,208,416
788 773272,220,860209,220,440
787 771946,395,858883,395,790
786 770806,563,857743,563,1126
785 763954,417,842849,417,834
784 763591,221,842486,221,442
783 762269,308,841164,308,616
782 761269,233,840345,233,466
781 760828,290,839904,290,580
780 760172,479,839248,479,958
779 758228,309,837304,309,618
778 757532,665,836608,665,1330
777 757037,422,836113,422,844
776 756746,248,835822,248,496
775 755177,362,834253,362,724
774 754937,239,834013,239,478
773 754525,370,833601,370,740
