# Options: ./swalign.x -v 1 -g 4 1 -d smrt100-2000.fna
# Fields: s. seqnum, q. seqnum, s. end, q. end, score, strand
0	1	1542	1639	401	-
0	2	1526	1487	379	+
0	3	1541	1523	371	-
0	4	1539	1106	269	-
0	5	1398	1216	307	-
0	6	1510	518	135	+
0	7	1354	1028	282	-
0	8	1547	1804	375	+
0	9	1548	1534	358	+
0	10	1536	664	186	-
0	11	1247	1313	338	+
0	12	1544	1471	359	-
0	13	1429	1366	334	+
0	14	1446	645	185	+
1	2	1630	1512	360	-
1	3	1543	1563	388	-
1	4	1316	1008	242	-
1	5	1288	1231	333	+
1	6	1466	520	138	-
1	7	1528	1048	265	-
1	8	1661	1803	375	+
1	9	1576	1537	400	+
1	10	1347	658	177	+
1	11	1657	1318	315	+
1	12	1659	1490	385	+
1	13	1419	1404	385	+
1	14	1611	648	179	+
2	3	1507	1382	363	+
2	4	1401	1121	266	+
2	5	1503	1159	308	+
2	6	1085	518	150	+
2	7	1510	1040	279	+
2	8	1514	1643	375	+
2	9	1511	1376	335	+
2	10	757	663	179	+
2	11	1241	1321	320	+
2	12	1480	1507	360	-
2	13	1511	1308	336	-
2	14	1459	649	180	-
3	4	1109	1133	289	+
3	5	1610	1176	313	-
3	6	1488	527	137	+
3	7	1444	1043	286	+
3	8	1611	1805	380	-
3	9	1605	1488	401	-
3	10	683	666	180	+
3	11	1366	1311	363	+
3	12	1609	1510	372	+
3	13	1591	1381	377	-
3	14	873	649	174	-
4	5	1125	1195	267	-
4	6	345	484	133	-
4	7	1115	1043	227	+
4	8	1112	1574	285	-
4	9	1134	1474	257	+
4	10	1135	642	172	+
4	11	1129	1108	259	+
4	12	1126	1191	251	+
4	13	1126	1397	253	+
4	14	1026	627	169	-
5	6	595	525	136	-
5	7	1073	1015	266	-
5	8	1235	1460	314	+
5	9	1219	1537	328	-
5	10	1126	631	179	-
5	11	1113	1305	294	+
5	12	1236	1160	341	-
5	13	1232	1404	309	-
5	14	674	628	179	-
6	7	522	893	136	-
6	8	523	1156	145	+
6	9	525	1124	137	+
6	10	523	607	152	+
6	11	525	538	156	+
6	12	528	1095	138	-
6	13	526	1209	126	+
6	14	521	445	127	+
7	8	1003	1473	280	-
7	9	1047	1044	267	-
7	10	935	666	204	+
7	11	1048	981	256	+
7	12	1048	1197	264	+
7	13	1040	1235	274	+
7	14	776	639	177	-
8	9	1666	1539	349	+
8	10	1341	643	203	-
8	11	1340	1301	315	+
8	12	1811	1492	364	-
8	13	1643	1404	345	-
8	14	827	644	190	+
9	10	1025	664	181	-
9	11	1532	1310	323	+
9	12	1535	1497	390	+
9	13	1478	1403	355	-
9	14	1364	649	179	+
10	11	660	653	175	+
10	12	663	1197	172	-
10	13	620	1361	195	+
10	14	579	640	139	+
11	12	1320	1238	304	-
11	13	1310	1365	316	+
11	14	1080	648	179	+
12	13	1265	1396	345	-
12	14	971	638	184	-
13	14	606	635	183	+
# TIME	swalign (ms):	138
