# Options: ./swalign.x -s unitscoreDNAlower.txt -i -2 -v -d smrt100-2000-first.fna -q smrt100-2000-last.fna
# Fields: s. seqnum, q. seqnum, s. start, s. len, q. start, q. len, score, strand
0	0	322	1033	20	1022	282	-
0	1	53	1495	320	1485	375	+
0	2	50	1499	6	1529	358	+
0	3	838	699	2	665	186	-
0	4	17	1231	88	1226	338	+
0	5	100	1445	44	1458	359	-
0	6	18	1412	14	1353	334	+
0	7	828	619	18	628	185	+
1	0	489	1040	0	1039	265	-
1	1	0	1662	143	1661	375	+
1	2	23	1554	10	1528	400	+
1	3	631	717	11	648	177	+
1	4	335	1323	69	1250	315	+
1	5	108	1552	16	1475	385	+
1	6	29	1391	3	1402	385	+
1	7	968	644	0	649	179	+
2	0	491	1020	1	1040	279	+
2	1	67	1448	181	1463	375	+
2	2	71	1441	0	1377	335	+
2	3	92	666	19	645	179	+
2	4	19	1223	38	1284	320	+
2	5	48	1433	8	1506	360	-
2	6	201	1311	97	1287	336	-
2	7	832	628	0	639	180	-
3	0	284	1161	2	1042	286	+
3	1	4	1608	17	1599	380	-
3	2	78	1528	51	1486	401	-
3	3	4	680	17	650	180	+
3	4	4	1363	5	1307	363	+
3	5	18	1592	1	1510	372	+
3	6	88	1504	24	1381	377	-
3	7	203	671	0	642	174	-
4	0	102	1014	2	1042	227	+
4	1	30	1083	248	1137	285	-
4	2	33	1102	365	1110	257	+
4	3	462	674	1	642	172	+
4	4	0	1130	7	1102	259	+
4	5	16	1111	64	1128	251	+
4	6	19	1108	213	1185	253	+
4	7	428	599	22	596	169	-
5	0	28	1046	33	1015	266	-
5	1	2	1234	212	1249	314	+
5	2	2	1218	2	1279	328	-
5	3	461	666	35	621	179	-
5	4	0	1114	100	1206	294	+
5	5	101	1136	355	1157	341	-
5	6	4	1229	1	1209	309	-
5	7	38	637	21	616	179	-
6	0	60	463	155	496	136	-
6	1	19	505	679	478	145	+
6	2	10	516	613	512	137	+
6	3	1	523	60	548	152	+
6	4	1	525	33	506	156	+
6	5	0	529	420	536	138	-
6	6	2	525	654	556	126	+
6	7	101	421	4	442	127	+
