# Fields: s. seqid, q. seqid, s. start, s. len, q. start, q. len, score, bit score
# Options: ./swalign.x -v 2 -g 11 1 -h -d ref-protein.fsa -q query-protein.fasta
# TIME	swalign (ms):	147
O55703	A1D2R0	102	42	18	40	27	15
O55703	A4IH82	41	86	230	81	49	23
O55703	B0XQT1	102	42	18	40	26	15
O55703	B0XZU3	191	29	97	29	24	14
O55703	B8NIM4	251	12	137	12	31	17
O55703	B8NXI4	191	29	97	29	23	13
O55703	C7ASI9	241	38	583	38	45	22
O55703	C7ZKL6	59	39	13	39	30	16
O55703	F1CKI6	241	38	583	38	45	22
O55703	F1CKI8	241	38	583	38	36	18
O55703	F1CKI9	241	38	583	38	38	19
O55703	O35048	12	10	92	10	27	15
O55703	O35296	42	15	50	15	36	18
O55703	O35469	44	19	52	19	33	17
O55703	O46516	42	15	50	15	29	16
O55703	O57245	93	33	285	33	31	17
O55703	O60239	164	40	14	38	48	23
O55703	P0CI63	102	26	17	26	28	15
O55703	P14060	145	21	255	21	35	18
O55703	P14893	140	26	242	34	33	17
O55703	P19871	180	21	119	21	28	15
O55703	P21097	93	33	285	33	31	17
O55703	P22071	42	15	50	15	32	17
O55703	P22072	42	15	50	15	32	17
O55703	P24745	131	70	201	70	29	16
O55703	P24815	42	15	50	15	36	18
O55703	P26149	228	12	260	12	31	17
O55703	P26150	143	49	319	47	34	18
O55703	P26439	42	15	49	15	33	17
O55703	P26670	93	33	285	33	31	17
O55703	P27364	145	21	255	21	29	16
O55703	P27365	58	43	122	45	34	18
O55703	P33794	32	12	47	12	21	13
O55703	P37046	179	4	5	4	16	11
O55703	P55194	56	88	471	92	49	23
O55703	P78314	63	28	337	21	44	22
O55703	P85078	179	4	5	4	16	11
O55703	P9WQP6	108	86	271	86	30	16
O55703	Q06649	68	112	334	109	49	23
O55703	Q0D131	230	21	40	21	28	15
O55703	Q0V8K7	261	17	236	17	31	17
O55703	Q39371	50	67	167	64	50	24
O55703	Q5IFP1	228	26	260	26	33	17
O55703	Q5R9X9	261	17	236	17	31	17
O55703	Q5U584	96	31	277	34	48	23
O55703	Q60555	42	15	50	15	36	18
O55703	Q61694	17	84	76	91	32	17
O55703	Q61767	143	49	319	47	35	18
O55703	Q62878	145	21	255	21	29	16
O55703	Q64421	42	15	50	15	36	18
O55703	Q67477	115	34	122	38	30	16
O55703	Q7L8J4	261	17	236	17	31	17
O55703	Q84SM8	159	10	567	10	38	19
O55703	Q89187	93	25	167	25	29	16
O55703	Q91Y80	68	46	321	59	33	17
O55703	Q99LH9	41	28	41	30	33	17
O55703	Q9EQC1	12	10	92	10	27	15
O55703	Q9H2F3	12	10	92	10	27	15
O55703	Q9LR73	99	47	84	45	33	17
O55703	Q9MBC1	207	38	66	38	34	18
O55703	Q9N119	42	15	50	15	29	16
O55703	Q9V785	74	63	248	62	50	24
O55703	Q9Y3L3	82	63	620	68	47	23
O55703	Q9Z131	108	19	411	19	35	18
O55703	Q9ZWB4	143	24	39	24	32	17
Q197A3	A1D2R0	18	42	53	51	23	13
Q197A3	A4IH82	55	18	232	18	29	16
Q197A3	B0XQT1	18	9	53	9	22	13
Q197A3	B0XZU3	18	43	66	43	26	15
Q197A3	B8NIM4	18	9	53	9	23	13
Q197A3	B8NXI4	111	9	109	9	26	15
Q197A3	C7ASI9	50	29	283	29	35	18
Q197A3	C7ZKL6	111	9	110	9	26	15
Q197A3	F1CKI6	50	29	283	29	35	18
Q197A3	F1CKI8	113	15	68	19	27	15
Q197A3	F1CKI9	113	7	68	7	25	14
Q197A3	O35048	39	10	123	10	24	14
Q197A3	O35296	7	16	110	16	30	16
Q197A3	O35469	37	11	117	11	25	14
Q197A3	O46516	19	28	75	28	34	18
Q197A3	O57245	94	5	231	5	24	14
Q197A3	O60239	37	13	338	13	24	14
Q197A3	P0CI63	111	9	109	9	26	15
Q197A3	P14060	43	46	295	47	27	15
Q197A3	P14893	43	44	295	36	31	17
Q197A3	P19871	62	20	21	22	25	14
Q197A3	P21097	94	5	231	5	24	14
Q197A3	P22071	92	36	293	39	30	16
Q197A3	P22072	92	36	293	39	30	16
Q197A3	P24745	65	14	210	16	28	15
Q197A3	P24815	103	25	307	25	33	17
Q197A3	P26149	37	11	117	11	25	14
Q197A3	P26150	5	22	185	21	33	17
Q197A3	P26439	103	25	306	25	32	17
Q197A3	P26670	94	5	231	5	24	14
Q197A3	P27364	68	18	255	18	24	14
Q197A3	P27365	103	25	307	25	31	17
Q197A3	P33794	52	15	20	15	22	13
Q197A3	P37046	8	3	0	3	17	11
Q197A3	P55194	57	41	103	43	36	18
Q197A3	P78314	89	15	37	15	35	18
Q197A3	P85078	28	11	2	11	18	12
Q197A3	P9WQP6	117	9	4	9	35	18
Q197A3	Q06649	89	15	37	15	35	18
Q197A3	Q0D131	18	9	53	9	23	13
Q197A3	Q0V8K7	83	20	213	20	29	16
Q197A3	Q39371	76	42	186	39	31	17
Q197A3	Q5IFP1	103	25	307	25	33	17
Q197A3	Q5R9X9	83	20	213	20	29	16
Q197A3	Q5U584	55	18	232	18	33	17
Q197A3	Q60555	103	25	307	25	29	16
Q197A3	Q61694	68	18	255	18	29	16
Q197A3	Q61767	7	17	110	17	25	14
Q197A3	Q62878	103	25	307	25	30	16
Q197A3	Q64421	11	22	249	22	24	14
Q197A3	Q67477	45	32	79	31	28	15
Q197A3	Q7L8J4	83	20	213	20	29	16
Q197A3	Q84SM8	113	7	68	7	25	14
Q197A3	Q89187	94	5	113	5	24	14
Q197A3	Q91Y80	72	39	177	37	23	13
Q197A3	Q99LH9	83	20	213	20	29	16
Q197A3	Q9EQC1	39	10	123	10	24	14
Q197A3	Q9H2F3	39	10	123	10	24	14
Q197A3	Q9LR73	20	32	20	30	27	15
Q197A3	Q9MBC1	87	15	195	15	30	16
Q197A3	Q9N119	103	25	307	25	31	17
Q197A3	Q9V785	88	20	412	20	31	17
Q197A3	Q9Y3L3	85	20	388	20	29	16
Q197A3	Q9Z131	46	43	295	43	25	14
Q197A3	Q9ZWB4	37	26	274	27	28	15
Q197A6	A1D2R0	301	8	112	8	26	15
Q197A6	A4IH82	88	62	20	60	34	18
Q197A6	B0XQT1	86	10	13	10	29	16
Q197A6	B0XZU3	86	14	12	14	29	16
Q197A6	B8NIM4	86	77	13	62	30	16
Q197A6	B8NXI4	86	10	12	10	27	15
Q197A6	C7ASI9	209	33	128	33	42	21
Q197A6	C7ZKL6	120	32	32	32	42	21
Q197A6	F1CKI6	209	33	128	33	42	21
Q197A6	F1CKI8	209	33	128	33	42	21
Q197A6	F1CKI9	209	33	128	33	42	21
Q197A6	O35048	211	8	98	8	28	15
Q197A6	O35296	195	19	205	19	31	17
Q197A6	O35469	89	37	238	37	37	19
Q197A6	O46516	148	44	44	71	39	20
Q197A6	O57245	208	18	30	25	25	14
Q197A6	O60239	3	35	24	35	38	19
Q197A6	P0CI63	204	18	24	18	30	16
Q197A6	P14060	148	41	44	40	45	22
Q197A6	P14893	146	16	42	16	34	18
Q197A6	P19871	255	15	130	15	29	16
Q197A6	P21097	208	18	30	25	25	14
Q197A6	P22071	89	37	238	37	38	19
Q197A6	P22072	89	37	238	37	37	19
Q197A6	P24745	200	33	260	32	31	17
Q197A6	P24815	89	37	238	37	38	19
Q197A6	P26149	97	28	38	32	33	17
Q197A6	P26150	89	43	238	46	36	18
Q197A6	P26439	148	41	43	40	41	20
Q197A6	P26670	208	18	30	25	25	14
Q197A6	P27364	89	37	238	37	40	20
Q197A6	P27365	148	41	44	40	44	22
Q197A6	P33794	213	18	42	18	30	16
Q197A6	P37046	186	6	10	6	21	13
Q197A6	P55194	261	16	490	15	34	18
Q197A6	P78314	292	14	435	14	36	18
Q197A6	P85078	186	6	10	6	21	13
Q197A6	P9WQP6	142	18	311	18	33	17
Q197A6	Q06649	274	23	449	23	34	18
Q197A6	Q0D131	4	16	44	16	32	17
Q197A6	Q0V8K7	62	39	212	33	36	18
Q197A6	Q39371	145	21	111	21	30	16
Q197A6	Q5IFP1	133	36	30	35	41	20
Q197A6	Q5R9X9	278	31	257	31	40	20
Q197A6	Q5U584	88	62	20	60	44	22
Q197A6	Q60555	89	37	238	37	34	18
Q197A6	Q61694	90	36	239	36	31	17
Q197A6	Q61767	195	19	205	19	30	16
Q197A6	Q62878	89	44	238	47	48	23
Q197A6	Q64421	89	37	238	37	34	18
Q197A6	Q67477	14	76	31	73	34	18
Q197A6	Q7L8J4	62	39	212	33	36	18
Q197A6	Q84SM8	209	33	128	33	42	21
Q197A6	Q89187	2	17	31	17	27	15
Q197A6	Q91Y80	255	41	271	49	38	19
Q197A6	Q99LH9	8	58	42	58	36	18
Q197A6	Q9EQC1	1	25	95	25	28	15
Q197A6	Q9H2F3	1	25	95	25	30	16
Q197A6	Q9LR73	93	19	35	19	33	17
Q197A6	Q9MBC1	236	22	399	22	38	19
Q197A6	Q9N119	146	16	42	16	37	19
Q197A6	Q9V785	270	7	232	7	35	18
Q197A6	Q9Y3L3	256	21	610	20	36	18
Q197A6	Q9Z131	252	46	324	52	35	18
Q197A6	Q9ZWB4	93	19	35	19	33	17
Q197A7	A1D2R0	80	20	92	19	25	14
Q197A7	A4IH82	57	11	163	11	29	16
Q197A7	B0XQT1	80	20	92	19	25	14
Q197A7	B0XZU3	25	10	77	10	21	13
Q197A7	B8NIM4	25	10	78	10	25	14
Q197A7	B8NXI4	47	13	131	13	25	14
Q197A7	C7ASI9	16	112	407	101	44	22
Q197A7	C7ZKL6	25	10	78	10	25	14
Q197A7	F1CKI6	16	112	407	101	46	22
Q197A7	F1CKI8	90	30	373	31	31	17
Q197A7	F1CKI9	90	30	373	31	31	17
Q197A7	O35048	24	45	20	43	28	15
Q197A7	O35296	27	15	317	15	30	16
Q197A7	O35469	114	9	195	9	27	15
Q197A7	O46516	37	23	261	23	30	16
Q197A7	O57245	50	45	60	47	35	18
Q197A7	O60239	0	15	30	15	23	13
Q197A7	P0CI63	81	24	54	21	22	13
Q197A7	P14060	38	21	262	21	25	14
Q197A7	P14893	15	28	220	28	28	15
Q197A7	P19871	88	6	176	6	26	15
Q197A7	P21097	50	45	60	47	35	18
Q197A7	P22071	27	15	317	15	31	17
Q197A7	P22072	27	15	317	15	31	17
Q197A7	P24745	7	13	106	13	32	17
Q197A7	P24815	115	27	38	27	27	15
Q197A7	P26149	2	17	20	17	25	14
Q197A7	P26150	27	15	317	15	25	14
Q197A7	P26439	38	21	261	21	30	16
Q197A7	P26670	50	45	60	47	35	18
Q197A7	P27364	102	16	297	16	25	14
Q197A7	P27365	38	21	262	21	32	17
Q197A7	P33794	49	27	29	27	20	12
Q197A7	P37046	134	3	17	3	16	11
Q197A7	P55194	57	23	336	21	26	15
Q197A7	P78314	9	31	527	31	32	17
Q197A7	P85078	134	3	17	3	16	11
Q197A7	P9WQP6	90	11	30	11	24	14
Q197A7	Q06649	111	8	281	8	29	16
Q197A7	Q0D131	25	10	78	10	25	14
Q197A7	Q0V8K7	57	11	162	11	29	16
Q197A7	Q39371	0	19	62	22	28	15
Q197A7	Q5IFP1	17	32	186	36	29	16
