# Options: swalign.x -v 2 -g 11 1 -d seq18.fasta
# Fields: s. seqnum, q. seqnum, s. start, s. len, q. start, q. len, score, bit score
0	1	19	9	31	9	23	13
0	2	23	8	7	8	18	12
0	3	8	12	0	12	19	12
0	4	12	8	10	8	15	10
0	5	49	7	1	7	20	12
0	6	23	8	12	8	19	12
0	7	53	7	8	7	19	12
0	8	11	12	23	12	21	13
0	9	28	9	48	9	20	12
0	10	24	9	48	9	19	12
0	11	24	4	45	4	21	13
0	12	17	8	16	8	21	13
0	13	15	18	11	15	26	15
0	14	25	5	12	5	16	11
0	15	44	14	48	14	19	12
0	16	22	20	0	20	20	12
0	17	0	5	35	5	17	11
1	2	6	7	47	7	16	11
1	3	34	8	21	8	22	13
1	4	36	8	36	8	18	12
1	5	32	20	15	22	22	13
1	6	15	16	43	16	23	13
1	7	34	7	28	7	21	13
1	8	6	15	39	16	26	15
1	9	6	15	0	15	24	14
1	10	16	13	34	13	15	10
1	11	5	8	1	8	17	11
1	12	41	5	20	5	20	12
1	13	27	13	8	13	32	17
1	14	39	8	14	8	18	12
1	15	34	10	17	10	20	12
1	16	31	15	29	15	22	13
1	17	34	6	45	6	19	12
2	3	34	12	23	12	19	12
2	4	27	5	28	5	23	13
2	5	48	10	12	10	23	13
2	6	31	10	53	10	20	12
2	7	1	14	16	13	19	12
2	8	12	14	44	14	20	12
2	9	28	15	17	16	21	13
2	10	53	8	0	8	17	11
2	11	52	10	39	10	25	14
2	12	42	9	2	9	15	10
2	13	36	4	33	4	19	12
2	14	50	12	34	12	18	12
2	15	36	20	28	20	21	13
2	16	0	5	30	5	17	11
2	17	27	13	26	13	16	11
3	4	41	15	37	14	26	15
3	5	7	23	0	25	19	12
3	6	6	12	15	12	20	12
3	7	59	5	21	5	20	12
3	8	12	13	51	13	23	13
3	9	9	18	0	18	19	12
3	10	23	21	30	21	24	14
3	11	35	11	48	11	19	12
3	12	5	24	7	24	22	13
3	13	46	9	40	9	19	12
3	14	29	10	37	10	21	13
3	15	56	7	29	7	22	13
3	16	40	8	0	8	18	12
3	17	12	12	36	12	17	11
4	5	25	5	10	5	18	12
4	6	15	10	28	10	19	12
4	7	55	9	2	9	22	13
4	8	12	18	9	18	24	14
4	9	0	20	39	20	17	11
4	10	18	5	6	5	20	12
4	11	12	35	29	35	25	14
4	12	22	6	33	6	17	11
4	13	3	6	3	6	15	10
4	14	39	4	30	4	15	10
4	15	43	9	26	9	19	12
4	16	52	11	25	11	21	13
4	17	46	7	10	7	16	11
5	6	0	18	34	18	36	18
5	7	15	5	1	5	28	15
5	8	0	9	49	9	18	12
5	9	14	6	1	6	19	12
5	10	19	11	21	11	23	13
5	11	43	7	24	7	18	12
5	12	50	10	16	10	29	16
5	13	23	6	37	6	14	10
5	14	55	7	25	7	17	11
5	15	38	18	19	17	22	13
5	16	43	3	12	3	16	11
5	17	30	4	38	4	14	10
6	7	46	9	0	9	31	17
6	8	13	43	21	43	21	13
6	9	18	17	39	17	24	14
6	10	2	12	25	12	20	12
6	11	13	5	1	5	18	12
6	12	22	5	23	5	17	11
6	13	12	10	16	11	14	10
6	14	0	9	46	9	21	13
6	15	16	3	46	3	17	11
6	16	12	13	0	13	16	11
6	17	10	10	36	10	17	11
7	8	27	14	46	14	14	10
7	9	27	6	12	6	19	12
7	10	49	7	46	7	20	12
7	11	31	9	35	9	21	13
7	12	16	6	58	6	18	12
7	13	31	13	32	13	24	14
7	14	52	7	45	7	19	12
7	15	26	16	30	16	22	13
7	16	36	4	10	4	15	10
7	17	19	6	50	6	16	11
8	9	39	11	0	11	20	12
8	10	8	22	31	22	34	18
8	11	4	31	24	31	24	14
8	12	0	26	5	26	16	11
8	13	8	4	44	4	16	11
8	14	34	6	29	6	16	11
8	15	44	11	8	11	16	11
8	16	20	15	15	15	20	12
8	17	38	10	29	10	18	12
9	10	16	5	22	5	17	11
9	11	57	4	1	4	15	10
9	12	9	20	19	19	22	13
9	13	19	3	3	3	15	10
9	14	51	9	3	9	24	14
9	15	11	12	44	12	26	15
9	16	27	6	47	6	18	12
9	17	27	10	48	10	22	13
10	11	25	12	23	12	25	14
10	12	17	16	14	16	16	11
10	13	0	20	36	20	19	12
10	14	21	6	32	6	20	12
10	15	9	19	0	19	24	14
10	16	25	35	0	34	31	17
10	17	25	21	17	21	23	13
11	12	27	10	41	10	16	11
11	13	19	11	30	11	20	12
11	14	8	7	20	7	15	10
11	15	26	4	6	4	16	11
11	16	17	17	0	17	28	15
11	17	9	7	49	7	20	12
12	13	26	4	42	4	15	10
12	14	12	11	34	11	16	11
12	15	4	9	44	9	22	13
12	16	6	8	13	8	14	10
12	17	10	10	23	10	19	12
13	14	1	26	26	26	15	10
13	15	47	8	27	8	20	12
13	16	44	9	21	9	14	10
13	17	15	6	45	6	23	13
14	15	38	23	28	22	29	16
14	16	16	21	27	21	22	13
14	17	10	14	22	14	24	14
15	16	39	16	14	16	17	11
15	17	49	15	39	15	21	13
16	17	22	11	38	11	23	13
# TIME	swalign (ms):	0
